incident_date,city,state,description,plan,citatation
7/2/2015,bloomer,wi,Two workers died from exposure to gases in manure pit.,unknown,unknown
7/1/2015,inc. glendale,ca,Worker killed in fall through skylight.,unknown,unknown
7/1/2015,stillwater,ok,Worker killed in fall from ladder.,unknown,unknown
7/1/2015,farmingdale,ny,Worker fatally crushed between slabs of granite.,unknown,unknown
7/1/2015,austin,tx,Worker loading pallets fatally crushed by forklift.,unknown,unknown
7/1/2015,saint louis,mo,Worker performing maintenance on metal shredder killed in fall.,unknown,unknown
7/1/2015,compton,ca,Worker driving company truck killed in motor vehicle collision.,unknown,unknown
7/1/2015,pelahatchie,ms,Worker struck and killed by trailer tire.,unknown,unknown
6/30/2015,lakeville,mn,Worker killed in trench cave-in.,unknown,unknown
6/30/2015,fritch,tx,Worker covering underground tank killed when excavation collapsed.,unknown,unknown
6/30/2015,plymouth,ma,Worker driving a front-end loader in sand and gravel pit killed when  wall collapsed.,unknown,unknown
6/29/2015,harrold,sd,Worker killed after becoming caught in asphalt conveyor.,unknown,unknown
6/29/2015,granite falls,nc,Worker struck and killed by forklift.,unknown,unknown
6/29/2015,austin,tx,Worker killed in fall from balcony of building under construction.,unknown,unknown
6/29/2015,east sparta,oh,Worker in basket of boom truck struck and killed by semi-tractor trailer.,unknown,unknown
6/29/2015,vidor,tx,Worker fatally crushed between crane boom and railing. ,unknown,unknown
6/29/2015,orange,tx,Worker struck and killed by boom.,unknown,unknown
6/28/2015,beaumont,tx,Worker killed in fall from ladder.,unknown,unknown
6/28/2015,houston,tx,Worker killed in fall from ladder.,unknown,unknown
6/28/2015,houston,tx,Worker killed in fall from ladder.,unknown,unknown
6/27/2015,big sandy,tx,Worker fatally crushed by engine component of skid steer loader.,unknown,unknown
6/26/2015,jasper,al,Worker struck and killed by tire.,unknown,unknown
6/26/2015,guntersville,al,Worker killed in fall from ladder.,unknown,unknown
6/26/2015,minooka,il,Worker killed in fall from truck trailer.  ,unknown,unknown
6/26/2015,story city,ia,Worker fatally crushed in trench collapse.,unknown,unknown
6/25/2015,white deer,tx,Worker hospitalized with third-degree burns from ruptured natural gas line.,unknown,unknown
6/25/2015,humboldt,tn,Worker struck and killed by dump truck in roadside construction zone.,unknown,unknown
6/25/2015,mascoutah,il,Worker electrocuted when ladder contacted power line. ,unknown,unknown
6/25/2015,laurel,md,Worker replacing highway guardrails struck and killed by tractor trailer.,unknown,unknown
6/25/2015,university,ms,Worker killed in fall from roof.,unknown,unknown
6/25/2015,pound ridge,ny,Worker performing landscaping activities drowned after falling lake.,unknown,unknown
6/24/2015,pleasanton,ca,Worker killed in fall from boom truck.,unknown,unknown
6/24/2015,lincoln,ne,Worker struck and killed by rebar that fell from overhead rigging.,unknown,unknown
6/24/2015,athens,al,Worker struck and killed by forklift. ,unknown,unknown
6/24/2015,victorville,ca,Worker in trench fatally crushed when equipment fell from platform.,unknown,unknown
6/24/2015,banks,ar,Worker killed in fall from log loader.,unknown,unknown
6/23/2015,newberry,fl,Worker trimming trees killed in fall from bucket of aerial lift. ,unknown,unknown
6/23/2015,rochester,ny,Worker struck and killed by metal cap propelled from pressurized sprinkler line. ,unknown,unknown
6/23/2015,ballinger,tx,Worker struck and killed by falling metal rails.,unknown,unknown
6/23/2015,grand rivers,ky,Worker killed in motor vehicle collision.,unknown,unknown
6/23/2015,amarillo,tx,Worker struck amd killed by garbage truck backing up.,unknown,unknown
6/23/2015,ashland,ky,Worker electrocuted by electric breaker system.,unknown,unknown
6/22/2015,augusta,ga,Worker killed when crane's brakes failed.,unknown,unknown
6/22/2015,selma,ca,Worker struck and killed by pipe that fell from truck during loading.,unknown,unknown
6/22/2015,rochester,ny,Worker performing bridge maintenance on river drowned when boat capsized.,unknown,unknown
6/21/2015,denver,nc,Worker delivering mail killed when tree fell on vehicle.  ,unknown,unknown
6/20/2015,artesia,nm,Worker killed in motor vehicle collision.,unknown,unknown
6/20/2015,verona,va,Worker killed in fall inside water tower under construction.,unknown,unknown
6/19/2015,farmington,ct,Worker killed by bees nesting in air conditioning unit. ,unknown,unknown
6/19/2015,houston,tx,Worker fatally crushed by vehicle when jack stands failed.  ,unknown,unknown
6/19/2015,ames,ia,Two workers killed in fall from scaffolding.,unknown,unknown
6/19/2015,toledo,oh,Worker struck and killed by tractor during maintenance. ,unknown,unknown
6/19/2015,orange,tx,Worker electrocuted while pulling cable into switchgear. ,unknown,unknown
6/19/2015,highgate center,vt,Worker fatally crushed when hay baler fell off jacks.,unknown,unknown
6/18/2015,end,ok,Worker struck and killed by forklift backing up.,unknown,unknown
6/18/2015,sanger,ca,Worker killed when tractor fell into canal.,unknown,unknown
6/18/2015,hattiesburg,ms,Worker fatally crushed when forklift overturned.,unknown,unknown
6/18/2015,rawlins,wy,Worker flagging traffic struck and killed by truck.,unknown,unknown
6/17/2015,las vegas,nv,Worker killed in fall on sidewalk.,unknown,unknown
6/17/2015,sun valley,ca,Worker struck and killed by tractor.,unknown,unknown
6/17/2015,longview,wa,Worker killed when concrete wall collapsed.,unknown,unknown
6/17/2015,tallahassee,fl,Worker killed when vehicle flipped over.,unknown,unknown
6/17/2015,miami,fl,Worker electrocuted after contacting with energized wires.,unknown,unknown
6/16/2015,endicott,ne,Worker killed after getting caught in brick setting machine.,unknown,unknown
6/16/2015,st. augustine,fl,Worker struck and killed by motor vehicle.,unknown,unknown
6/16/2015,miami beach,fl,Worker killed in fall from ledge.,unknown,unknown
6/16/2015,san juan,tx,Worker electrocuted by live wiring in transformer.,unknown,unknown
6/16/2015,gibson,la,Worker killed in fall from barge.,unknown,unknown
6/16/2015,arcadia,oh,Worker ashyxiated by gas in wastewater treatment system tank.,unknown,unknown
6/16/2015,victorville,ca,Worker killed in fall from cab of truck.,unknown,unknown
6/15/2015,henrico,va,Worker killed when masonry saw kicked back.  ,unknown,unknown
6/15/2015,vernon,tx,Worker killed in fall through skylight.,unknown,unknown
6/15/2015,frankfort,ky,Worker killed when aerial lift fell over.,unknown,unknown
6/15/2015,chicago,il,Worker died after falling into silo with furnace dust.,unknown,unknown
6/15/2015,morrison,tn,Worker electrocuted from metal touching energized saw. ,unknown,unknown
6/15/2015,winter garden,fl,Worker killed after being pulled into paper machine.,unknown,unknown
6/15/2015,houston,tx,Worker fatally crushed between trailer and trailer bed.,unknown,unknown
6/15/2015,columbus,oh,Worker killed in fall from box elevated by terrain forklift.,unknown,unknown
6/15/2015,passaic,nj,Worker inspecting bridge swept away by water and drowned.,unknown,unknown
6/15/2015,neosho,mo,Worker killed in explosion while sorting shell castings.,unknown,unknown
6/13/2015,las vegas,nv,Worker killed in motor vehicle collision.,unknown,unknown
6/12/2015,danville,ca,Worker clearing brush and ivy electrocuted after contacting power line.,unknown,unknown
6/12/2015,university park,pa,Worker struck and killed by falling jib from boom of hydraulic crane.,unknown,unknown
6/12/2015,waynesburg,oh,Employee fatally crushed between vehicles.,unknown,unknown
6/12/2015,waco,tx,Worker fatally crushed by elevator while working in shaft.,unknown,unknown
6/11/2015,cucamonga,ca,Worker struck and killed by car.,unknown,unknown
6/11/2015,davenport,ia,Worker killed after being struck by nail gun.,unknown,unknown
6/11/2015,louisville,ky,Worker fatally crushed in trench collapse.,unknown,unknown
6/11/2015,somerville,ma,Worker killed in fall when personnel hoist collapsed.,unknown,unknown
6/11/2015,deary,id,Worker struck and killed by carriage of line machine.,unknown,unknown
6/10/2015,orondo,wa,Worker killed in fall from roof.,unknown,unknown
6/10/2015,buffalo,tx,Worker electrocuted when forklift boom contacted energized power line.,unknown,unknown
6/10/2015,madera,ca,Worker killed in ATV collision.,unknown,unknown
6/10/2015,fayetteville,ga,Worker performing residential construction killed in fall.  ,unknown,unknown
6/10/2015,holyoke,ma,Worker struck and killed by dump truck.,unknown,unknown
6/10/2015,port lavaca,tx,Worker died from hydrogen cyanide exposure.,unknown,unknown
6/9/2015,salem,va,Worker killed in fall from roof.,unknown,unknown
6/9/2015,old forge,pa,Worker struck and killed by milling machine during roadway construction.,unknown,unknown
6/9/2015,bonne terre,mo,Worker killed in fall from roof.,unknown,unknown
6/8/2015,homestead,fl,Worker killed in fall while welding.,unknown,unknown
6/8/2015,mansfield,pa,Worker asphyxiated while working in silo.  ,unknown,unknown
6/8/2015,blaine,wa,Worker fatally crushed by air separator.,unknown,unknown
6/7/2015,vero beach,fl,Worker drowned when lawn mower slid into lake.,unknown,unknown
6/7/2015,springfield,oh,Worker struck and killed by semi-truck. ,unknown,unknown
6/7/2015,lake stevens,wa,Worker killed in fall from ladder.,unknown,unknown
6/6/2015,santa maria,ca,Worker electrocuted after contacting power lines.,unknown,unknown
6/5/2015,okeechobee,fl,Worker drowned in pond.,unknown,unknown
6/5/2015,brazil,in,Worker fatally crushed between trailers.,unknown,unknown
6/5/2015,chattanooga,tn,Worker killed in fall from crane.,unknown,unknown
6/5/2015,colts neck,nj,Worker struck and killed by train.,unknown,unknown
6/5/2015,hudson,ia,Worker killed by rotating tail rotor of helicopter.,unknown,unknown
6/4/2015,lewisville,tx,Worker died from burns caused by scalding water.,unknown,unknown
6/4/2015,youngstown,oh,Worker fatally crushed by vehicle that fell from tow truck.,unknown,unknown
6/4/2015,edelstein,il,Worker struck and killed by rolling trailer.,unknown,unknown
6/4/2015,bossier city,la,Worker electrocuted after contacting utility line.,unknown,unknown
6/4/2015,tamuning,gu,Worker fatally crushed by marble slabs that shifted in container during loading.,unknown,unknown
6/4/2015,el paso,tx,Worker drowned after falling into swimming pool.,unknown,unknown
6/4/2015,heath,oh,Worker electrocuted by junction box wires.,unknown,unknown
6/3/2015,washington,dc,Worker fatally crushed between block wall and falling counterweights of suspension scaffold.,unknown,unknown
6/3/2015,syracuse,ny,Worker killed in fall from ladder-jack scaffold.  ,unknown,unknown
6/3/2015,concepcion,tx,Worker fatally crushed by mower.,unknown,unknown
6/3/2015,randlett,ut,Worker operating street sweeper killed in vehicle collision.,unknown,unknown
6/2/2015,vero beach,fl,Worker drowned when riding lawn mower slid into lake.,unknown,unknown
6/2/2015,pico rivera,ca,Worker fatally stabbed by customer.,unknown,unknown
6/2/2015,san dimas,ca,Worker fatally shot during store robbery.,unknown,unknown
6/2/2015,old town,me,Worker killed after falling into wood chipper.,unknown,unknown
6/1/2015,oxnard,ca,Worker killed in fall from tractor.,unknown,unknown
6/1/2015,murfreesboro,tn,Worker fatally crushed between ground and framework of  ATV that flipped over.,unknown,unknown
5/31/2015,roberts,id,Worker in ATV killed in collision with feed truck. ,unknown,unknown
5/30/2015,wilkinsburg,pa,Worker pinned and fatally crushed between aerial lift and overhead structure.,unknown,unknown
5/30/2015,el paso,tx,Worker electrocuted during power line removal.,unknown,unknown
5/29/2015,new philadelphia,oh,Worker struck and killed by tractor trailer.,unknown,unknown
5/29/2015,owosso,mi,Worker fatally crushed during operation of machining equipment.,unknown,unknown
5/29/2015,hammondsport,ny,Worker struck and killed by sheet piling.,unknown,unknown
5/29/2015,lithia springs,ga,Worker struck and killed by dump truck. ,unknown,unknown
5/28/2015,palmdale,ca,Worker killed in fall from sand blast unit.,unknown,unknown
5/28/2015,edwardsville,il,Worker fatally crushed by compactor when it flipped over.,unknown,unknown
5/28/2015,havre de grace,md,Worker struck and killed by van.,unknown,unknown
5/28/2015,mabel,mn,Worker fatally crushed under trailer.,unknown,unknown
5/28/2015,camp hill,pa,Worker struck and killed by boom of bucket truck. ,unknown,unknown
5/28/2015,saginaw,mi,Worker fatally crushed by falling beam.,unknown,unknown
5/27/2015,madisonville,ky,Worker driving tractor trailer killed in collision.,unknown,unknown
5/26/2015,deerfield beach,fl,Worker killed in fall from ladder.,unknown,unknown
5/26/2015,jamesville,ny,Worker fatally crushed by elevator.,unknown,unknown
5/26/2015,stockton,ca,Worker fatally shot by robber.,unknown,unknown
5/26/2015,grand forks,nd,Worker fatally shot by customer.,unknown,unknown
5/26/2015,oakdale,ne,Worker killed when crane went off road and rolled over.,unknown,unknown
5/25/2015,la crosse,va,Worker killed in fall from platform.,unknown,unknown
5/23/2015,pixley,ca,Worker killed in ATV collision.,unknown,unknown
5/22/2015,san jose,ca,Worker killed in fall from ladder. ,unknown,unknown
5/21/2015,durham,nc,Worker struck and killed by chop saw blade.,unknown,unknown
5/21/2015,baton rouge,la,Worker electrocuted after contacting energized wire.,unknown,unknown
5/21/2015,louisville,ky,Worker struck and killed by train.,unknown,unknown
5/20/2015,long beach,ca,Worker killed in fall from roof.,unknown,unknown
5/19/2015,channelview,tx,Worker fatally crushed when tractor overturned.,unknown,unknown
5/18/2015,jane lew,wv,Worker struck and killed by tree during felling operations. ,unknown,unknown
5/18/2015,eaton,co,Worker struck and killed by skid steer attachment.,unknown,unknown
5/17/2015,quanah,tx,Worker struck and killed by drill casing.,unknown,unknown
5/16/2015,chicago,il,Worker in aerial lift electrocuted after contacting live power source.,unknown,unknown
5/16/2015,carlinville,il,Worker killed when tractor slid into ravine and overturned.,unknown,unknown
5/15/2015,caneyville,ky,Worker killed in vehicle collision.,unknown,unknown
5/15/2015,louisa,ky,Worker struck and killed by log during unloading.,unknown,unknown
5/14/2015,jacksonville,fl,Worker fatally crushed by concrete panel that fell from semi-truck trailer.,unknown,unknown
5/14/2015,dallas,tx,Worker killed in fall from third floor.,unknown,unknown
5/14/2015,abilene,tx,Worker fatally crushed between truck and loading dock.,unknown,unknown
5/14/2015,devine,tx,Worker killed in fall from basket of truck-mounted aerial lift. ,unknown,unknown
5/14/2015,hilbert,wi,Worker fatally crushed by overhead door. ,unknown,unknown
5/14/2015,lexington,ky,Worker struck and killed by granite that fell from forklift.,unknown,unknown
5/13/2015,bronx,ny,Worker killed in fall from ladder.,unknown,unknown
5/13/2015,miami,ok,Worker fatally crushed inside machine when it was re-energized. ,unknown,unknown
5/12/2015,marathon,fl,Worker killed when back-hoe rolled over.,unknown,unknown
5/12/2015,marshall,nc,Worker fatally crushed between house and truck backing up.,unknown,unknown
5/12/2015,keyes,ca,Worker killed in fall from platform.,unknown,unknown
5/11/2015,glen ellen,ca,Worker fatally crushed when excavator rolled over.,unknown,unknown
5/11/2015,louisville,ky,Worker fatally crushd between machine guard and metal lift post of conveyor machine.,unknown,unknown
5/11/2015,jasper,mn,Worker killed in barn fire.,unknown,unknown
5/11/2015,bloomington,ca,Worker struck and killed by falling crane boom.,unknown,unknown
5/11/2015,salt lake city,ut,Worker killed in fall from ladder.,unknown,unknown
5/11/2015,powell,oh,Worker fatally crushed by sand hopper that fell from forklift.,unknown,unknown
5/11/2015,jasper,mn,Worker killed in barn fire.,unknown,unknown
5/9/2015,sheffield lake,oh,Worker killed in fall from roof.,unknown,unknown
5/8/2015,las vegas,nv,Worker killed in trench collapse.,unknown,unknown
5/8/2015,surrency,ga,Worker struck and killed by falling fan shroud.,unknown,unknown
5/8/2015,chicago,il,Worker killed in forklift collision.,unknown,unknown
5/8/2015,enterprise,al,Worker trimming trees killed in fall from bucket lift.,unknown,unknown
5/7/2015,auburndale,wi,Worker fatally crushed when semi-truck slipped and fell from jack.,unknown,unknown
5/7/2015,westover,md,Worker electrocuted after contacting energized parts of switch gear.,unknown,unknown
5/7/2015,milwaukee,wi,Worker operating ice cream cart struck and killed by car.,unknown,unknown
5/6/2015,detroit,mi,Worker repairing vehicle conveyor line struck and killed by a vehicle.,unknown,unknown
5/6/2015,fredericksburg,va,Worker killed when forklift overturned.,unknown,unknown
5/6/2015,newark,nj,Worker struck and killed by elevator counter weight during demolition.,unknown,unknown
5/5/2015,st. louis,mo,Worker struck and killed by tree limb.  ,unknown,unknown
5/5/2015,troy,va,Worker fatally engulfed in sawdust that filled cab of truck.,unknown,unknown
5/5/2015,detroit,mi,Worker fatally crushed between plates in filter press.,unknown,unknown
5/5/2015,new york,ny,Worker killed in fall down elevator shaft.,unknown,unknown
5/4/2015,somerset,nj,Worker killed in trench collapse.,unknown,unknown
5/4/2015,woodstock,il,Worker killed in fall through 2nd story floor hole.,unknown,unknown
5/4/2015,morgantown,wv,Worker in bucket lift electrocuted after contacting power line.,unknown,unknown
5/2/2015,new haven,ct,Worker killed in fall from top of crane cab.,unknown,unknown
5/1/2015,freer,tx,Worker killed after falling into point of operation of drill cable line.,unknown,unknown
5/1/2015,houghton,mi,Worker fataly crushed by dump truck that rolled during brake maintenance.,unknown,unknown
5/1/2015,houghton,mi,Worker fatally crushed by dump truck during brake check.,unknown,unknown
5/1/2015,madera,ca,Three workers hospitalized when propane tank ignited.,unknown,unknown
5/1/2015,norcross,ga,Worker killled in fall from attic window.,unknown,unknown
4/30/2015,des peres,mo,Worker in aerial lift fatally crushed between basket and steel beam.,unknown,unknown
4/30/2015,hialeah,fl,Worker killed in fall from tree.,unknown,unknown
4/30/2015,forreston,il,Worker struck and killed by crane boom.,unknown,unknown
4/29/2015,puyallup,wa,Worker killed in fall from ladder.,unknown,unknown
4/29/2015,new canton,va,Worker performing logging operations struck and killed by tree.,unknown,unknown
4/29/2015,laredo,tx,Worker fatally crushed by automobile that fell from forklift.,unknown,unknown
4/29/2015,houston,tx,Worker killed in fall from roof. ,unknown,unknown
4/29/2015,sheboygan,wi,Worker fatally crushed between semi-trailer and block wall at loading dock. ,unknown,unknown
4/29/2015,del rio,tx,Two workers performing maintenance on dam elevator killed when scaffold fell into water below.,unknown,unknown
4/28/2015,pitman,nj,Worker struck and killed by tree limb.,unknown,unknown
4/28/2015,lincoln,il,Worker pinned and fatally crushed under hose cart while changing tire.,unknown,unknown
4/28/2015,miami,fl,Worker trimming tree electrocuted after contacting power line.,unknown,unknown
4/28/2015,aurora,co,Worker killed in fall from ladder.,unknown,unknown
4/28/2015,raleigh,nc,Worker killed in fall from tree.,unknown,unknown
4/28/2015,woodville,tx,Worker electrocuted while repairing downed power line.,unknown,unknown
4/27/2015,clinton,md,Worker killed after becoming caught on rotating shaft of asphalt machine.,unknown,unknown
4/27/2015,damiansville,il,Worker killed in falll from water tower.,unknown,unknown
4/27/2015,flower mound,tx,Worker performing lawn maintenance drowned in swimming pool.,unknown,unknown
4/27/2015,new orleans,la,Worker killed in fall from window.,unknown,unknown
4/27/2015,poyinette,wi,Worker killed in fall on forklift.,unknown,unknown
4/27/2015,bronx,ny,Worker killed by ex-resident while walking to her car.,unknown,unknown
4/27/2015,cincinnati,oh,Worker fatally crushed beneath forklift.,unknown,unknown
4/26/2015,bowling green,ky,Worker killed in fall from platform.,unknown,unknown
4/26/2015,jal,nm,Worker suffered fatal burns in pump room.,unknown,unknown
4/25/2015,roslyn,ny,Worker in swimming pool died after contacting electrical power source.,unknown,unknown
4/24/2015,hardin,ky,Worker killed in distillery explosion.,unknown,unknown
4/24/2015,nashville,tn,Three workers hospitalized from exposure to carbon monoxide.,unknown,unknown
4/24/2015,kettleman city,ca,Worker killed in oil tank explosion.,unknown,unknown
4/24/2015,new york,ny,Worker fatally crushed between crane boom and truck frame.,unknown,unknown
4/24/2015,oklahoma city,ok,Worker fatally crushed between automated crane and stationary object.  ,unknown,unknown
4/23/2015,chickasha,ok,Worker struck and killed by pipe under pressure.,unknown,unknown
4/23/2015,branson,mo,Worker struck and killed by dump truck backing down driveway.,unknown,unknown
4/22/2015,douglasville,ga,Worker died from hydrogen sulfide exposure. ,unknown,unknown
4/22/2015,saddle brook,nj,Worker fatally crushed by collapsing concrete wall.,unknown,unknown
4/22/2015,glendale,az,Worker struck and killed by forklift.,unknown,unknown
4/21/2015,canandaigua,ny,Worker electrocuted when crane cable contacted overhead electrical wiring.,unknown,unknown
4/21/2015,huntsville,ar,Worker struck and killed by kiln door.,unknown,unknown
4/21/2015,athens,tn,Worker killed in fall from ladder.,unknown,unknown
4/20/2015,gary,in,Worker underneath bus fatally crushed when vehicle rolled forward.,unknown,unknown
4/20/2015,pensacola,fl,Worker fatally injured by chain saw.,unknown,unknown
4/19/2015,lexington,ky,Worker delivering pizza fatally stabbed during robbery.,unknown,unknown
4/18/2015,kermit,tx,Worker struck and killed by plug ejected from pressurized pipeline.,unknown,unknown
4/18/2015,ecorse,mi,Worker directing trucks at loading bay struck and killed by vehicle.,unknown,unknown
4/17/2015,denver,co,Worker killed in fall from roof.,unknown,unknown
4/17/2015,escondido,ca,Worker killed in fall inside building.,unknown,unknown
4/17/2015,columbus,oh,Worker operating welding machine killed by arc flash.,unknown,unknown
4/17/2015,philadelphia,pa,Worker killed in fall through floor hole.,unknown,unknown
4/17/2015,fresno,ca,Eleven workers hospitalized for burns after natrual gas pipeline exploded.,unknown,unknown
4/16/2015,connersville,in,Worker struck and killed by vehicle.,unknown,unknown
4/16/2015,stanton,tx,Worker struck and killed by falling pipes.,unknown,unknown
4/16/2015,tarpon springs,fl,Worker killed when pressurized cylinder exploded.,unknown,unknown
4/15/2015,elk grove village,il,Employee died after being caught in lathe.,unknown,unknown
4/15/2015,petaluma,ca,Worker fatally crushed by pipe on street overpass.,unknown,unknown
4/15/2015,oakland,mi,Worker crushed by tree trunk.,unknown,unknown
4/15/2015,longmont,co,Worker killed in motor vehicle collision.,unknown,unknown
4/14/2015,fort myers beach,fl,Worker killed in fall from roof.,unknown,unknown
4/14/2015,omaha,ne,Two workers killed in explosion of tanker containing petroleum waste.,unknown,unknown
4/14/2015,brownsville,tx,Worker struck and killed by scaffold that fell from forklift.,unknown,unknown
4/13/2015,farr west,ut,Worker fatally crushed when mobile home trailer fell off safety blocks.,unknown,unknown
4/13/2015,san juan,pr,Worker struck and killed by garbage truck.,unknown,unknown
4/13/2015,las vegas,nm,Worker struck and killed by equipment that slid off trailer during loading.,unknown,unknown
4/13/2015,prussia,pa,Worker killed by arc flash from electrical line.,unknown,unknown
4/13/2015,miami,fl,Worker fatally crushed by glass panels that fell from crate.,unknown,unknown
4/13/2015,houston,tx,Worker installing shingles killed in fall from roof. ,unknown,unknown
4/13/2015,two harbors,mn,Worker died after slipping on wet floor.,unknown,unknown
4/12/2015,orlando,fl,Worker killed in motor vehicle collision.,unknown,unknown
4/12/2015,cullman,al,Worker killed in fall from roof.,unknown,unknown
4/11/2015,mattawa,wa,Worker killed when tractor rolled over.,unknown,unknown
4/11/2015,schuyler,ne,Worker struck and killed by chain.,unknown,unknown
4/10/2015,bonita,ca,Worker died from MRSA infection contracted from nursing home equipment.,unknown,unknown
4/10/2015,dallas,tx,Worker electrocuted when aluminum extension ladder contacted power lines.,unknown,unknown
4/10/2015,carrollton,ms,Worker killed in fall at residential construction site.,unknown,unknown
4/10/2015,chicago,il,Worker killed in fall from elevated platform.,unknown,unknown
4/9/2015,venice,ca,Worker died from chainsaw injury.,unknown,unknown
4/9/2015,burgettown,pa,Worker replacing guardrails struck and killed by truck.,unknown,unknown
4/9/2015,fellsmere,fl,Worker harvesting grapefruits killed in fall from ladder.,unknown,unknown
4/9/2015,la crosse,wi,Worker killed in fall from ladder.,unknown,unknown
4/9/2015,bogalusa,la,Worker installing sign struck and killed by crane-arm. ,unknown,unknown
4/8/2015,los angeles,ca,Worker killed in fall through floor opening.,unknown,unknown
4/8/2015,johnstown,pa,Worker run over by trailer while repairing suspenion.,unknown,unknown
4/8/2015,jay,ny,Worker struck and killed by a board while operating an edger.,unknown,unknown
4/7/2015,cisco,tx,Worker installing fence struck and killed by post. ,unknown,unknown
4/7/2015,argyle,tx,Worker struck and killed by semi-truck . ,unknown,unknown
4/7/2015,harahan,la,Worker fatally crushed by forklift.,unknown,unknown
4/6/2015,bayview gardens,il,Worker killed during robbery.,unknown,unknown
4/6/2015,fairview,nj,Worker killed in fall down steps.,unknown,unknown
4/6/2015,burleson,tx,Worker struck and killed by warehouse storage rack. ,unknown,unknown
4/6/2015,thomasville,al,Worker struck and killed by falling tree.,unknown,unknown
4/6/2015,new york,ny,Worker fatally crushed by demolition debris.,unknown,unknown
4/6/2015,pasadena,ca,Worker drowned in pool.,unknown,unknown
4/3/2015,bradenton,fl,Working killed in fall through a kitchen exhaust shaft. ,unknown,unknown
4/3/2015,steubenville,oh,Worker killed in fall from forklift.,unknown,unknown
4/2/2015,altamont,ut,Worker struck and killed by part of oil drill assembly.,unknown,unknown
4/2/2015,clermont,fl,Three utility workers struck and killed by motor vehicle.,unknown,unknown
4/2/2015,argyle,tx,Worker in aerial lift struck and killed by debris when building collapsed.,unknown,unknown
4/1/2015,houston,tx,Worker struck and killed by pipes that rolled off truck rack.,unknown,unknown
4/1/2015,brooklyn,ny,Worker killed in fall from building.,unknown,unknown
3/31/2015,seattle,wa,Worker fell killed in fall from roof.,unknown,unknown
3/31/2015,new braunfels,tx,Worker killed in fall from balcony.,unknown,unknown
3/30/2015,marcus hook,pa,Worker struck and killed by pile driver.,unknown,unknown
3/30/2015,norfolk,va,Worker struck and killed by concrete pier piling.,unknown,unknown
3/30/2015,battle mountain,nv,Worker repairing potholes struck and killed by semi-truck.,unknown,unknown
3/30/2015,mount vernon,wa,Worker fatally shot during robbery.,unknown,unknown
3/29/2015,hermosa beach,ca,Worker died from burns after contacting energized cables in underground vault.,unknown,unknown
3/28/2015,st. paul,mn,Worker died of respiratory failure after leaving scaling room.,unknown,unknown
3/28/2015,eden,tx,Worker killed in fall from cellular tower.,unknown,unknown
3/28/2015,merriam,ks,Worker cleaning silo fatally engulfed in cement.,unknown,unknown
3/28/2015,san antonio,tx,Worker killed in fall from dump trailer ladder.   ,unknown,unknown
3/27/2015,miami beach,fl,Worker gate struck and killed by glass table-top blown from balcony by high winds.  ,unknown,unknown
3/27/2015,sloan,nv,Worker killed in hang glider crash.,unknown,unknown
3/27/2015,morgantown,pa,Worker killed in hydrogen blast when water reacted with titanium liquid. ,unknown,unknown
3/26/2015,bridgeport,ct,Worker fatally shot.,unknown,unknown
3/26/2015,bronx,ny,Worker killed in fall from elevated surface.,unknown,unknown
3/26/2015,magnolia,tx,Worker struck and killed by conveyer that fell from overhead crane.,unknown,unknown
3/26/2015,salado,tx,Worker killed by falling concrete beam.,unknown,unknown
3/26/2015,new york,ny,Worker killed in gas explosion. ,unknown,unknown
3/25/2015,fresno,ca,Worker on top of truck electrocuted after contacting powerline.,unknown,unknown
3/25/2015,new smyrna beach,fl,Worker electrocuted after contacting overhead power line. ,unknown,unknown
3/25/2015,inchelium,wa,Worker fatally crushed by falling tree.,unknown,unknown
3/24/2015,henrico,va,Worker struck and killed by tree branch.,unknown,unknown
3/24/2015,center moriches,ny,Worker killed after being ejected from forklift,unknown,unknown
3/24/2015,fairfield,tx,Worker struck and killed by machine parts when drill line broke.,unknown,unknown
3/24/2015,lawrenceburg,ky,Worker installing insulation killed in fall from barn truss.,unknown,unknown
3/23/2015,romeoville,il,Worker fatally crushed by forklift while unloading trailer.,unknown,unknown
3/23/2015,center,tx,Worker killed when caught in screw auger. ,unknown,unknown
3/23/2015,raleigh,nc,Worker killed in fall while performing tree cutting operations.,unknown,unknown
3/23/2015,raleigh,nc,Worker 1 killed in scaffold collapse.,unknown,unknown
3/23/2015,raleigh,nc,Worker 2 killed in scaffold collapse.,unknown,unknown
3/23/2015,mckinney,tx,Worker fatally crushed by bale recyclable material.,unknown,unknown
3/23/2015,lebanon,ct,Worker fatally engulfed by pile of ground corn.,unknown,unknown
3/21/2015,new york,ny,Worker killed in fall from ladder. ,unknown,unknown
3/21/2015,los angeles,ca,Worker pressure washing roof killed in fall through skylight.,unknown,unknown
3/21/2015,fort walton beach,fl,Worker changing oil on truck killed when vehicle lunged forward.,unknown,unknown
3/20/2015,san bernadino,ca,Worker trimming tree killed in fall.,unknown,unknown
3/20/2015,aguadilla,pr,Worker killed in fall after tripping on steel rod.,unknown,unknown
3/20/2015,long beach,ca,Worker killed in fall from ladder.,unknown,unknown
3/20/2015,warren,mi,Worker struck and killed by bundle of steel.,unknown,unknown
3/19/2015,thomasville,ga,Worker loading truck struck and killed by falling propane tank.,unknown,unknown
3/19/2015,melbourne,fl,Worker struck and killed by two motorcycles.,unknown,unknown
