incident_date,city,state,description,plan,citatation
9/10/2015,houston,tx,Worker electrocuted while installing plumbing pipe in ceiling.,unknown,unknown
9/9/2015,eden,nc,Worker struck and killed by felled tree.,unknown,unknown
9/9/2015,tampa,fl,Worker milling asphalt next to highway struck and killed by dump truck.,unknown,unknown
9/9/2015,cookeville,tn,Worker struck and killed by tree being pulled by skidder.,unknown,unknown
9/9/2015,bangor,me,Worker struck and killed by vehicle gate.,unknown,unknown
9/9/2015,oshkosh,wi,Worker killed in fall while washing windows.,unknown,unknown
9/9/2015,seffner,fl,Worker electrocuted when bucket truck contacted live wires.,unknown,unknown
9/9/2015,tolleson,az,Worker died from heat stress-related illness.,unknown,unknown
9/8/2015,everett,pa,Worker electrocuted when truck crane contacted overhead power lines.,unknown,unknown
9/8/2015,kiln,ms,Worker struck and killed when elevated concrete floor collapsed.,unknown,unknown
9/8/2015,de forest,wi,Worker fatally crushed under 800 pound hay bale.,unknown,unknown
9/8/2015,bensenville,il,Worker killed in fall when scissor lift tipped over.,unknown,unknown
9/6/2015,fox,ok,Worker driving tanker truck killed in vehicle collision.,unknown,unknown
9/6/2015,prescott,ar,Worker driving semi truck killed in vehicle collision.,unknown,unknown
9/4/2015,taunton,ma,Worker struck and killed by steel.,unknown,unknown
9/4/2015,fennimore,wi,Worker killed in fall from ladder.,unknown,unknown
9/4/2015,elyria,oh,Worker killed in fall from roof.,unknown,unknown
9/3/2015,palacios,tx,Worker killed in vehicle collision.,unknown,unknown
9/3/2015,north wilkesboro,nc,Worker struck and killed by felled tree.,unknown,unknown
9/3/2015,brooklyn,ny,Worker struck and killed by collapsed wall.,unknown,unknown
9/2/2015,norridge,il,Employee electrocuted during attempt to energize HVAC unit. ,unknown,unknown
9/2/2015,east stroudsburg,pa,Worker killed in fall while performing tree trimming operations.,unknown,unknown
9/2/2015,brighton,co,Worker killed in fall from ladder.,unknown,unknown
9/2/2015,pelican,la,Worker fatally crushed between skitter and log loader.,unknown,unknown
9/2/2015,firebaugh,ca,Worker struck and killed by harvesting equipment.,unknown,unknown
9/1/2015,bellevue,wa,Worker drowned in bottom of excavation.,unknown,unknown
9/1/2015,jamul,ca,Worker killed in fall from hoist landing. ,unknown,unknown
9/1/2015,williston,nd,Worker struck and killed by roller.,unknown,unknown
9/1/2015,atlanta,ga,Worker electrocuted after falling from bucket truck and contacting  power line. ,unknown,unknown
9/1/2015,jamul,ca,Worker killed in fall from construction platform.,unknown,unknown
9/1/2015,chicago,il,Worker fatally engulfed by dirt from truck.   ,unknown,unknown
9/1/2015,washington,pa,Worker killed when compact tractor rolled over.,unknown,unknown
9/1/2015,palatine,il,Worker killed in fall from ladder.,unknown,unknown
9/1/2015,new york,ny,Worker killed in fall from scaffold.  ,unknown,unknown
9/1/2015,manor,tx,Worker electrocuted while leveling buidling foundation.,unknown,unknown
8/31/2015,lyons,ga,Worker struck and killed by wood that fell from scissor jack.,unknown,unknown
8/31/2015,humboldt,tn,Worker struck and killed by falling tree.,unknown,unknown
8/31/2015,danville,va,Worker killed after becoming caugt in machine rollers. ,unknown,unknown
8/31/2015,overland park,ks,Worker electrocuted when ladder contacted high voltage line.,unknown,unknown
8/31/2015,sizerock,ky,Worker killed when bulldozer overturned on slope.,unknown,unknown
8/31/2015,brownsville,tx,Worker killed in fall from water tower.,unknown,unknown
8/31/2015,clanton,al,Worker fatally crushed by railroad ties during inspection. ,unknown,unknown
8/31/2015,longmont,co,Worker killed in fall through opening in roof.,unknown,unknown
8/31/2015,jonesville,mi,Worker killed when dump truck overturned.,unknown,unknown
8/30/2015,harrisburg,pa,Worker struck and killed by steel load while operating forklift.,unknown,unknown
8/29/2015,miramar,fl,Worker struck and killed by diesel hammer.,unknown,unknown
8/28/2015,san antonio,tx,Worker killed in fall from ladder.,unknown,unknown
8/28/2015,stockton,al,Worker died after being dragged by skidder.,unknown,unknown
8/28/2015,clarkia,id,Worker fatally crushed by overturned logging equipment.,unknown,unknown
8/28/2015,draper,ut,One worker electrocuted and two hospitalized when ladder contacted power line.,unknown,unknown
8/28/2015,talihina,ok,Worker died after entering gasoline fuel sump.,unknown,unknown
8/28/2015,cincinnati,oh,Worker killed in fall from fourth floor window.,unknown,unknown
8/28/2015,grand canyon,az,Worker died of heatstroke while hiking.,unknown,unknown
8/27/2015,winona,mn,Worker killed in fall from barge.,unknown,unknown
8/27/2015,riverside,ca,Worker died after falling and striking head.,unknown,unknown
8/27/2015,burlington,ia,Worker fatally crushed between lift arms and skid loader.,unknown,unknown
8/27/2015,milton,fl,Worker struck and killed by motor vehicle.,unknown,unknown
8/26/2015,southaven,ms,Worker struck and killed by motor vehicle.,unknown,unknown
8/26/2015,templeton,ca,Worker electrocuted by power line.,unknown,unknown
8/26/2015,farnhamville,ia,Worker fatally engulfed in grain silo.,unknown,unknown
8/26/2015,prescott,wa,Worker killed in fall from back of moving truck.,unknown,unknown
8/26/2015,chopin,la,Worker killed in fall from manlift.  ,unknown,unknown
8/26/2015,beaver,wv,Worker struck and killed by tree. ,unknown,unknown
8/26/2015,west hartford,ct,Worker fatally crushed between overturned boom truck and concrete jersey barriers.  ,unknown,unknown
8/26/2015,minneapolis,mn,Worker killed in fall from roof.,unknown,unknown
8/25/2015,covina hills,ca,Worker killed in fall while trimming trees.,unknown,unknown
8/25/2015,fort lauderdale,fl,Worker fatally crushed by iron gate.,unknown,unknown
8/25/2015,maspeth,ny,Worker killed in fall from elevated platform. ,unknown,unknown
8/25/2015,atlanta,ga,Worker struck and killed by explosive shot.,unknown,unknown
8/25/2015,new york,ny,Worker killed in fall when elevated platform collapsed.,unknown,unknown
8/25/2015,west branch,mi,Worker killed in fall while trimming trees.,unknown,unknown
8/24/2015,athens,oh,Worker fatally crushed by overturned skidder.,unknown,unknown
8/23/2015,beech grove,in,Worker welding fuel tank killed when it exploded.,unknown,unknown
8/22/2015,staley,nc,Worker killed after falling into gravel blending machine.,unknown,unknown
8/21/2015,burns harbor,in,Worker killed in fall from scaffold.,unknown,unknown
8/21/2015,new york,ny,Security guard shot and killed by visitor.,unknown,unknown
8/21/2015,le roy,ny,Worker killed in fall from upper storage area. ,unknown,unknown
8/21/2015,tucson,az,Worker struck and killed by collapsing wall during  demolition.,unknown,unknown
8/20/2015,killdeer,nd,Worker electrocuted when crane contacted overhead power line.,unknown,unknown
8/20/2015,jacksonville,fl,Worker fatally crushed by bucket of skid steer loader.,unknown,unknown
8/20/2015,buttonwillow,ca,Worker struck and killed by backhoe.,unknown,unknown
8/20/2015,conroe,tx,Temporary worker died from heat exposure after first day of job on waste collection truck.,unknown,unknown
8/19/2015,knoxville,tn,Worker installing satallite dish killed in fall from ladder.,unknown,unknown
8/19/2015,bainbridge,ga,Worker killed when storage tank containing sodium hydrosulfide exploded.,unknown,unknown
8/19/2015,pullman,wa,Worker killed in motor vehicle collision.,unknown,unknown
8/19/2015,houston,tx,Worker struck and killed by falling tree.,unknown,unknown
8/19/2015,twisp,wa,Three workers killed fighting forest fire.,unknown,unknown
8/18/2015,henderson,tx,Worker killed when scissor lift fell over.  ,unknown,unknown
8/18/2015,albuquerque,nm,One worker killed and seven others hospitalized when six-story scaffold collapsed.,unknown,unknown
8/18/2015,summit,ut,Worker struck and killed by power saw.,unknown,unknown
8/18/2015,norfolk,va,Worker electrocuted by switch gear.,unknown,unknown
8/18/2015,santa rosa,ca,Worker fatally crushed by falling tree limb.,unknown,unknown
8/17/2015,madison,wi,Worker setting trusses killed in fall.,unknown,unknown
8/17/2015,taunton,ma,Worker killed in fall when aerial lift tipped over.,unknown,unknown
8/15/2015,fort worth,tx,Worker killed in fall from scaffold inside water tank.,unknown,unknown
